Capacity (GW), Coal  , Oil & Gas  , Nuclear , Hydro , Solar , Wind  , Small-Hydro  , Bio Power  
01/01/21,207,25,7,46,39,39,5,10
01/02/21,208,25,7,46,39,39,5,10
01/03/21,209,25,7,46,40,39,5,10
01/04/21,209,25,7,46,41,39,5,10
01/05/21,209,25,7,46,41,39,5,10
01/06/21,209,25,7,46,42,39,5,10
01/07/21,209,25,7,46,44,40,5,11
01/08/21,209,25,7,46,46,40,5,11
01/09/21,209,25,7,47,46,40,5,11
01/10/21,209,25,7,47,48,40,5,11
01/11/21,209,25,7,47,49,40,5,11
01/12/21,210,25,7,47,49,40,5,11
01/01/22,211,25,7,47,50,40,5,11
01/02/22,211,25,7,47,51,40,5,11
01/03/22,211,25,7,47,54,40,5,11
01/04/22,211,25,7,47,55,41,5,11
01/05/22,211,25,7,47,57,41,5,11
01/06/22,211,25,7,47,58,41,5,11
01/07/22,211,25,7,47,58,41,5,11
01/08/22,211,25,7,47,59,41,5,11
01/09/22,211,25,7,47,61,42,5,11
01/10/22,211,25,7,47,62,42,5,11
01/11/22,211,25,7,47,62,42,5,11
01/12/22,210,25,7,47,63,42,5,11
01/01/23,211,25,7,47,64,42,5,11
01/02/23,211,25,7,47,64,42,5,11
01/03/23,212,25,7,47,67,43,5,11
01/04/23,212,25,7,47,67,43,5,11
01/05/23,212,25,7,47,68,43,5,11
01/06/23,213,25,7,47,70,44,5,11
01/07/23,213,25,7,47,71,44,5,11
01/08/23,213,25,7,47,72,44,5,11
01/09/23,214,25,7,47,72,44,5,11
01/10/23,213,25,7,47,72,44,5,11
01/11/23,213,25,7,47,72,45,5,11
01/12/23,214,25,7,47,73,45,5,11
01/01/24,215,25,7,47,74,45,5,11
01/02/24,218,25,7,47,76,45,5,11
01/03/24,218,25,8,47,82,46,5,11
01/04/24,218,25,8,47,83,46,5,11
01/05/24,218,25,8,47,84,46,5,11
01/06/24,218,25,8,47,85,47,5,11
01/07/24,218,25,8,47,87,47,5,11
01/08/24,218,25,8,47,89,47,5,11
01/09/24,218,25,8,47,91,47,5,11
01/10/24,218,25,8,47,92,48,5,11
01/11/24,218,25,8,47,94,48,5,11
01/12/24,219,25,8,47,98,48,5,11
01/01/25,220,25,8,47,100,48,5,11
01/02/25,222,25,8,47,103,49,5,11
01/03/25,222,25,8,48,106,50,5,12
01/04/25,219,20,9,48,108,51,5,12
01/05/25,219,20,9,48,111,51,5,12
01/06/25,221,20,9,49,116,52,5,12
01/07/25,223,20,9,50,119,52,5,12
01/08/25,223,20,9,50,123,53,5,12
01/09/25,224,20,9,50,127,53,5,12
01/10/25,225,20,9,50,130,54,5,12
01/11/25,226,20,9,50,133,54,5,12
01/12/25,226,20,9,51,136,55,5,12
01/01/2026,228,20,9,51,141,55,5,12
01/02/2026,228,20,9,51,144,55,5,12
